Champion,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G.1,G/M,DMG,DMG/M,KPAR,KS,GS,Lane
Aatrox,42,21,27,15,64.3%,3.14,2.62,5.52,3.31,254.48,8.09,12.4,396,16.7k,532,56.1%,20.3%,21.2%,Top
Gnar,25,10,13,12,52%,1.96,3.2,5.76,2.41,246.32,7.86,11.9,381,16.2k,516,53.9%,13.7%,21%,Top
Fiora,23,13,12,11,52.2%,2.52,2.17,3.26,2.66,269.83,8.74,12.4,400,14.5k,470,45.2%,19.7%,21.9%,Top
Ornn,19,14,10,9,52.6%,1.32,2.47,5.84,2.89,224.53,6.98,10.7,334,13.1k,408,57.9%,10.6%,19.1%,Top
Renekton,18,11,5,13,27.8%,2.28,3.39,3.89,1.82,271.0,8.1,12.7,381,14.4k,430,53.6%,19.8%,21.8%,Top
Jax,16,9,6,10,37.5%,2.13,2.81,2.88,1.78,252.56,7.96,12.1,382,11.8k,371,45.7%,19.4%,22%,Top
Sejuani,15,9,7,8,46.7%,1.87,3.0,6.0,2.62,214.73,7.38,10.6,363,13.5k,463,62.1%,14.7%,20.6%,Top
Maokai,15,8,4,11,26.7%,1.2,3.2,4.13,1.67,201.87,6.94,9.4,324,13.3k,457,60.6%,13.6%,19.1%,Top
Camille,14,8,8,6,57.1%,3.43,3.29,5.0,2.57,252.21,7.66,12.9,391,17.2k,522,62.4%,25.4%,21.6%,Top
Gragas,11,7,8,3,72.7%,2.09,2.0,6.36,4.23,220.91,6.86,11.3,352,14.9k,463,54.4%,13.5%,19%,Top
Kennen,9,6,4,5,44.4%,2.33,3.78,3.56,1.56,234.67,7.43,11.7,370,16.8k,531,52%,20.6%,21.2%,Top
Gangplank,6,3,4,2,66.7%,5.33,2.67,6.33,4.38,219.0,7.92,13.4,484,22.4k,810,64.8%,29.6%,24.5%,Top
Gwen,5,4,2,3,40%,2.4,2.8,2.0,1.57,262.6,8.49,12.3,396,16.4k,531,50%,27.3%,22.4%,Top
Jayce,3,2,3,0,100%,3.0,5.0,5.67,1.73,251.33,7.95,12.7,403,23.8k,752,63.4%,22%,21.2%,Top
Yone,3,1,3,0,100%,5.33,3.33,5.33,3.2,258.67,8.65,13.7,457,20.3k,679,54.2%,27.1%,22.8%,Top
Lillia,3,2,1,2,33.3%,2.33,2.0,6.33,4.33,257.67,8.04,11.9,371,16.3k,509,59.1%,15.9%,21%,Top
Mordekaiser,2,2,1,1,50%,4.5,1.5,7.0,7.67,242.5,7.91,13.4,437,16.3k,533,63.9%,25%,22.4%,Top
Irelia,2,2,0,2,0%,0.5,6.0,2.0,0.42,220.5,7.47,9.5,323,11.3k,384,25%,5%,19.8%,Top
Rumble,2,2,0,2,0%,1.0,4.0,3.0,1.0,271.5,7.98,11.8,348,13k,383,72.7%,18.2%,21.8%,Top
Olaf,1,1,1,0,100%,9.0,6.0,4.0,2.17,362.0,8.08,21.5,481,33.4k,746,72.2%,50%,25.9%,Top
Shen,1,1,1,0,100%,2.0,0.0,4.0,6.0,247.0,7.59,12.4,380,12.5k,383,40%,13.3%,19.2%,Top
Sylas,1,1,1,0,100%,4.0,1.0,6.0,10.0,180.0,7.97,9.2,409,14.5k,641,43.5%,17.4%,19.3%,Top
Vayne,1,1,1,0,100%,6.0,3.0,4.0,3.33,163.0,6.62,10.4,424,12.9k,524,58.8%,35.3%,20.6%,Top
Darius,1,1,0,1,0%,4.0,2.0,5.0,4.5,228.0,6.57,12.9,373,15k,432,60%,26.7%,20.8%,Top
Garen,1,1,0,1,0%,5.0,5.0,1.0,1.2,203.0,6.59,10.9,353,10.3k,334,50%,41.7%,21.8%,Top
Malphite,1,1,0,1,0%,0.0,5.0,5.0,1.0,233.0,6.85,10.8,318,14.5k,426,45.5%,0%,18.7%,Top
Teemo,1,1,0,1,0%,1.0,9.0,3.0,0.44,145.0,5.55,7.4,285,13.5k,516,66.7%,16.7%,18.8%,Top
Tryndamere,1,1,0,1,0%,2.0,4.0,1.0,0.75,323.0,9.13,13.5,382,12.5k,353,75%,50%,24.4%,Top
Vladimir,1,1,0,1,0%,2.0,1.0,0.0,2.0,206.0,8.09,8.5,334,10.2k,401,33.3%,33.3%,22.6%,Top
Zilean,1,1,0,1,0%,3.0,5.0,2.0,1.0,176.0,6.03,9.3,319,13.2k,452,50%,30%,20.8%,Top
Viego,34,12,23,11,67.6%,3.82,2.18,5.71,4.38,166.09,5.48,10.9,360,9.6k,316,66.8%,26.8%,19.3%,Jungle
Sejuani,33,15,17,16,51.5%,1.94,2.48,8.36,4.15,152.18,4.74,10.0,310,9.7k,301,73.4%,13.8%,17.3%,Jungle
Graves,31,16,15,16,48.4%,3.29,2.19,6.13,4.29,228.97,7.27,12.6,400,14.4k,457,73.2%,25.6%,21.7%,Jungle
Maokai,25,14,15,10,60%,1.84,2.92,8.8,3.64,147.12,4.6,9.9,309,13.2k,413,70.7%,12.2%,16.9%,Jungle
Lee Sin,20,13,10,10,50%,1.5,2.65,6.65,3.08,164.1,5.22,9.9,314,7.7k,245,67.4%,12.4%,17.9%,Jungle
Hecarim,17,8,9,8,52.9%,3.59,3.47,7.18,3.1,182.76,5.97,11.2,365,11.1k,364,73.8%,24.6%,20%,Jungle
Trundle,16,8,8,8,50%,1.69,2.56,8.19,3.85,142.63,4.61,9.5,309,7.7k,248,69.3%,11.8%,17.3%,Jungle
Vi,16,10,7,9,43.8%,1.75,2.94,6.5,2.81,155.56,4.94,9.7,308,6.8k,217,66.7%,14.1%,17.3%,Jungle
Poppy,15,11,5,10,33.3%,1.0,2.47,6.0,2.84,140.33,4.71,8.8,295,7.7k,259,66.5%,9.5%,16.9%,Jungle
Bel'Veth,9,6,3,6,33.3%,3.56,2.56,5.0,3.35,184.67,6.44,10.9,381,9.3k,324,72%,29.9%,21.7%,Jungle
Jarvan IV,9,7,2,7,22.2%,1.22,4.22,7.0,1.95,149.11,4.5,9.4,283,8.2k,248,91.4%,13.6%,16.8%,Jungle
Kindred,4,1,4,0,100%,2.0,1.25,6.5,6.8,228.75,6.41,12.9,361,14.4k,405,70.8%,16.7%,19.5%,Jungle
Wukong,4,4,1,3,25%,4.25,3.5,6.25,3.0,170.5,4.88,11.9,340,12.8k,366,77.8%,31.5%,20.2%,Jungle
Nidalee,2,2,1,1,50%,3.0,1.5,4.5,5.0,207.5,7.44,11.3,407,18.9k,679,78.9%,31.6%,22.1%,Jungle
Kayn,2,1,0,2,0%,3.0,3.0,5.0,2.67,210.5,5.95,12.1,343,14.9k,421,88.9%,33.3%,21%,Jungle
Xin Zhao,2,2,0,2,0%,1.5,3.5,2.0,1.0,159.0,5.86,8.4,308,7.1k,261,87.5%,37.5%,19.9%,Jungle
Karthus,1,1,1,0,100%,9.0,5.0,11.0,4.0,266.0,6.4,18.9,455,54.7k,1316,95.2%,42.9%,26%,Jungle
Nocturne,1,1,1,0,100%,5.0,4.0,8.0,3.25,171.0,5.53,11.5,373,11.6k,374,56.5%,21.7%,17.2%,Jungle
Fiddlesticks,1,1,0,1,0%,2.0,3.0,1.0,1.0,127.0,5.07,7.4,295,8.5k,340,50%,33.3%,19.6%,Jungle
Lillia,1,1,0,1,0%,2.0,6.0,3.0,0.83,175.0,6.7,9.2,352,9.5k,365,83.3%,33.3%,23.2%,Jungle
Pantheon,1,1,0,1,0%,5.0,4.0,6.0,2.75,178.0,5.33,11.8,354,19.2k,573,78.6%,35.7%,19.8%,Jungle
Sylas,46,15,31,15,67.4%,4.02,2.3,5.0,3.92,259.74,8.41,12.9,417,15.4k,499,62.9%,28%,22.3%,Mid
Azir,44,18,20,24,45.5%,3.16,1.98,4.48,3.86,289.68,9.34,13.0,421,20.8k,669,64.2%,26.6%,23.9%,Mid
Akali,32,14,18,14,56.3%,4.28,2.22,3.72,3.61,266.63,8.44,12.7,402,16.9k,535,54.4%,29.1%,22%,Mid
Viktor,27,16,11,16,40.7%,2.37,3.07,4.67,2.29,277.89,8.66,12.8,400,21.2k,661,63.3%,21.3%,22.9%,Mid
LeBlanc,16,10,7,9,43.8%,3.81,1.5,4.44,5.5,249.44,7.8,12.6,395,20k,626,62.6%,28.9%,22.3%,Mid
Taliyah,16,10,5,11,31.3%,2.69,3.06,5.19,2.57,262.56,8.55,11.8,383,17.4k,566,73.3%,25%,22.3%,Mid
Lissandra,10,7,5,5,50%,2.2,2.5,6.7,3.56,230.9,8.22,11.0,393,11.1k,395,64.5%,15.9%,21.3%,Mid
Galio,10,7,2,8,20%,1.4,3.4,7.0,2.47,232.2,7.46,10.8,346,14.5k,465,75%,12.5%,20.4%,Mid
Ahri,6,5,5,1,83.3%,5.33,1.33,7.17,9.38,325.5,8.99,16.2,447,23.5k,649,65.8%,28.1%,23.2%,Mid
Vex,6,3,3,3,50%,3.67,3.0,7.17,3.61,261.33,8.22,13.5,424,20.5k,645,71.4%,24.2%,22.6%,Mid
Syndra,5,4,1,4,20%,2.8,2.8,6.0,3.14,265.6,8.23,12.5,387,18.8k,582,65.7%,20.9%,22%,Mid
Ryze,4,2,3,1,75%,4.75,2.75,4.5,3.36,282.75,8.79,14.0,434,15.9k,494,56.9%,29.2%,22.7%,Mid
Yone,4,3,3,1,75%,4.5,1.5,5.25,6.5,328.0,9.77,15.0,446,18.8k,561,60.9%,28.1%,24.3%,Mid
Sett,4,2,2,2,50%,2.25,3.5,5.0,2.07,193.0,6.52,10.1,342,13.6k,461,56.9%,17.6%,19.8%,Mid
Swain,4,4,2,2,50%,2.25,2.25,6.25,3.78,223.5,7.69,10.5,361,15.5k,533,79.1%,20.9%,20.8%,Mid
Orianna,3,3,2,1,66.7%,5.33,1.33,6.33,8.75,320.33,9.56,15.4,460,19.8k,590,85.4%,39%,24.6%,Mid
Zac,2,1,1,1,50%,1.5,2.5,8.0,3.8,220.5,6.52,11.6,342,10.7k,316,67.9%,10.7%,19.2%,Mid
Seraphine,2,2,0,2,0%,0.5,3.5,5.5,1.71,260.0,8.25,10.3,327,10.2k,323,70.6%,5.9%,20.4%,Mid
Zoe,1,1,1,0,100%,5.0,0.0,11.0,16.0,196.0,8.52,10.2,443,16.2k,704,76.2%,23.8%,21.8%,Mid
Anivia,1,1,0,1,0%,1.0,3.0,3.0,1.33,274.0,8.69,11.3,359,13.7k,434,57.1%,14.3%,23%,Mid
Sion,1,1,0,1,0%,1.0,4.0,1.0,0.5,215.0,8.23,8.6,331,8.7k,333,33.3%,16.7%,21.9%,Mid
Aphelios,43,16,23,20,53.5%,4.28,2.16,4.44,4.03,286.49,9.4,13.5,442,17.8k,585,65%,31.9%,24.6%,Bot
Lucian,27,9,16,11,59.3%,5.19,1.52,4.67,6.49,299.63,9.59,15.0,480,22.8k,731,71.9%,37.8%,25.8%,Bot
Kai'Sa,25,16,14,11,56%,5.88,1.64,4.88,6.56,295.56,9.63,14.4,469,16.7k,543,66.7%,36.5%,25.3%,Bot
Miss Fortune,25,12,10,15,40%,3.32,2.56,5.4,3.41,303.88,9.48,13.7,427,18.4k,575,68.1%,25.9%,24.4%,Bot
Kalista,23,15,10,13,43.5%,3.83,2.83,4.39,2.91,293.87,9.1,13.8,427,13.7k,423,61.2%,28.5%,24.2%,Bot
Varus,18,12,9,9,50%,4.0,2.17,4.61,3.97,286.06,9.09,13.4,426,17k,540,65.1%,30.3%,23.8%,Bot
Tristana,14,8,7,7,50%,3.57,2.5,4.36,3.17,293.86,9.75,13.4,445,15.6k,519,68.5%,30.9%,24.9%,Bot
Sivir,12,8,11,1,91.7%,5.25,1.42,8.42,9.65,329.83,10.27,15.5,483,22.3k,696,84.1%,32.3%,25.9%,Bot
Caitlyn,11,9,4,7,36.4%,3.0,2.0,3.64,3.32,305.45,9.41,13.7,422,17.8k,548,61.9%,28%,24.3%,Bot
Ezreal,9,6,4,5,44.4%,2.56,1.67,3.0,3.33,285.56,9.63,13.0,437,20.3k,686,52.1%,24%,24.2%,Bot
Draven,8,6,3,5,37.5%,3.88,3.25,1.75,1.73,277.5,8.83,14.2,453,14.2k,452,63.4%,43.7%,26%,Bot
Seraphine,7,3,2,5,28.6%,2.57,2.29,6.57,4.0,262.0,8.42,11.7,377,14.8k,476,77.1%,21.7%,21.7%,Bot
Jinx,5,4,4,1,80%,2.8,0.8,6.8,12.0,277.6,9.74,12.8,448,14.8k,518,69.6%,20.3%,22.9%,Bot
Ashe,5,3,3,2,60%,4.2,3.0,6.0,3.4,281.2,8.58,13.8,420,17.1k,522,63%,25.9%,21.8%,Bot
Xayah,5,5,1,4,20%,3.0,1.8,2.8,3.22,337.2,10.05,14.3,425,17.1k,509,74.4%,38.5%,25.7%,Bot
Jhin,2,2,1,1,50%,2.0,2.0,7.0,4.5,227.0,7.91,11.0,384,14.2k,493,75%,16.7%,20.2%,Bot
Nilah,2,2,0,2,0%,2.5,2.0,5.0,3.75,354.5,9.65,15.1,411,14.9k,406,75%,25%,25.3%,Bot
Senna,2,2,0,2,0%,0.5,3.0,5.5,2.0,65.0,1.87,9.3,269,9.8k,284,80%,6.7%,15.8%,Bot
Samira,1,1,0,1,0%,1.0,4.0,7.0,2.0,298.0,9.68,11.8,382,9.4k,306,66.7%,8.3%,23.6%,Bot
Nami,27,9,16,11,59.3%,0.81,2.22,10.0,4.87,13.48,0.43,7.7,247,6.1k,195,78.9%,5.9%,13.3%,Support
Leona,27,16,10,17,37%,0.63,3.85,7.59,2.13,35.11,1.14,7.1,231,3.5k,113,68.7%,5.3%,13.1%,Support
Renata Glasc,21,12,12,9,57.1%,0.86,2.52,9.0,3.91,22.52,0.73,7.4,241,5.1k,164,74.5%,6.5%,13.4%,Support
Amumu,19,9,12,7,63.2%,1.21,4.0,10.74,2.99,35.68,1.13,7.7,244,5.7k,179,69%,7%,13.1%,Support
Nautilus,16,13,3,13,18.8%,0.5,4.75,5.69,1.3,34.69,1.09,6.8,212,4.1k,127,64.7%,5.2%,12.7%,Support
Lulu,15,7,8,7,53.3%,0.53,2.2,7.8,3.79,15.53,0.49,7.4,233,4.5k,141,66.1%,4.2%,12.9%,Support
Yuumi,14,10,12,2,85.7%,1.36,1.29,12.79,11.0,8.64,0.27,8.1,253,14.6k,454,88%,8.4%,13.7%,Support
Alistar,13,9,5,8,38.5%,0.31,3.54,8.23,2.41,29.31,0.95,6.7,218,4.3k,139,64.2%,2.3%,12.4%,Support
Tahm Kench,11,8,7,4,63.6%,0.45,2.27,7.73,3.6,36.64,1.24,7.1,239,4.8k,162,62.9%,3.5%,12.8%,Support
Rell,10,8,7,3,70%,0.3,2.7,9.6,3.67,33.8,1.1,7.2,236,3.5k,114,64.3%,1.9%,12.7%,Support
Thresh,9,5,6,3,66.7%,1.11,2.33,9.89,4.71,33.78,1.15,7.3,249,4.1k,139,75.6%,7.6%,13.4%,Support
Soraka,9,7,4,5,44.4%,0.22,2.89,8.0,2.85,17.89,0.54,7.3,220,5.5k,164,71.8%,1.9%,12.8%,Support
Braum,7,5,3,4,42.9%,0.71,3.0,8.0,2.9,34.43,1.11,7.3,235,4.9k,158,74.4%,6.1%,13.2%,Support
Lux,7,6,3,4,42.9%,0.71,2.71,6.0,2.47,35.29,1.11,7.6,238,8.6k,272,66.2%,7%,13.8%,Support
Sett,7,6,2,5,28.6%,2.14,4.71,7.14,1.97,38.57,1.3,7.3,247,7.6k,255,60.7%,14%,13.7%,Support
Heimerdinger,6,3,3,3,50%,1.0,3.33,6.5,2.25,30.0,0.9,8.7,259,15.4k,460,54.9%,7.3%,13.8%,Support
Karma,5,4,1,4,20%,0.6,3.4,5.0,1.65,17.8,0.57,7.1,225,8.4k,266,73.7%,7.9%,13.4%,Support
Shen,3,3,2,1,66.7%,0.0,1.33,6.67,5.0,35.0,1.27,6.4,232,3.1k,111,57.1%,0%,12.5%,Support
Rakan,3,3,1,2,33.3%,0.0,3.33,9.0,2.7,37.33,1.16,7.1,221,3.7k,115,81.8%,0%,12.9%,Support
Maokai,2,1,2,0,100%,1.5,3.0,10.0,3.83,37.5,1.14,8.5,258,9.2k,281,53.5%,7%,12.8%,Support
Blitzcrank,2,2,1,1,50%,0.5,2.5,7.0,3.0,31.5,1.21,6.4,245,4k,154,60%,4%,13%,Support
Morgana,2,2,0,2,0%,0.0,5.0,9.5,1.9,23.0,0.6,8.1,210,7.3k,190,73.1%,0%,12.3%,Support
Ashe,1,1,1,0,100%,1.0,3.0,12.0,4.33,32.0,0.83,10.0,257,17.1k,443,72.2%,5.6%,13.8%,Support
Taric,1,1,1,0,100%,0.0,3.0,17.0,5.67,45.0,1.27,8.9,251,3.4k,97,68%,0%,13.4%,Support
Bard,1,1,0,1,0%,0.0,1.0,5.0,5.0,30.0,1.02,5.6,191,4k,136,62.5%,0%,11.9%,Support
Nasus,1,1,0,1,0%,0.0,4.0,3.0,0.75,15.0,0.5,5.7,190,6.1k,203,75%,0%,12.1%,Support
Pyke,1,1,0,1,0%,2.0,8.0,4.0,0.75,47.0,1.19,10.1,256,8.4k,213,60%,20%,14.8%,Support
Senna,1,1,0,1,0%,0.0,3.0,1.0,0.33,24.0,0.94,5.8,229,4.2k,165,50%,0%,15.9%,Support
Seraphine,1,1,0,1,0%,0.0,1.0,7.0,7.0,367.0,9.33,15.4,392,11k,281,70%,0%,22%,Support
Singed,1,1,0,1,0%,1.0,3.0,3.0,1.33,150.0,4.98,7.8,258,5.2k,173,80%,20%,16.2%,Support
Syndra,1,1,0,1,0%,1.0,4.0,4.0,1.25,33.0,1.05,7.2,228,9k,287,71.4%,14.3%,14.6%,Support
